区,投資適性スコア,平米単価,物件数
大阪市中央区,87.73448113989376,77.72672272154497,1218
大阪市北区,86.37018046177607,79.37756611139748,926
大阪市西区,80.75552163045845,73.17911027280499,728
大阪市福島区,67.9853919933256,71.54068168131074,358
大阪市天王寺区,65.6045621977062,67.22387442952035,383
大阪市浪速区,63.585933721881446,72.49921027148645,219
大阪市阿倍野区,54.100866092354146,60.27623210733721,311
大阪市淀川区,47.88278176063325,51.0174700982464,416
大阪市城東区,47.323567672632905,51.88694964372836,401
大阪市都島区,42.45219340947767,54.61960758945735,292
大阪市東成区,37.70088728491805,51.15870010311686,177
大阪市港区,32.666063629987114,53.023426695347005,157
大阪市住吉区,31.084525514469185,47.70985443300368,204
大阪市鶴見区,29.014138323193052,48.14911345703634,165
大阪市旭区,24.423102410431305,47.78771460912739,98
