市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,建築年,取引価格（総額）,西暦建築年,築年数,平米単価,面積カテゴリ,徒歩カテゴリ
大阪市阿倍野区,相生通,北畠,4,３ＬＤＫ,65,1998年,2700,1998,27,41.53846153846154,50-70㎡,0-5分
大阪市阿倍野区,相生通,北畠,4,４ＬＤＫ,90,1998年,3900,1998,27,43.333333333333336,70-100㎡,0-5分
大阪市阿倍野区,相生通,北畠,5,,65,1998年,2200,1998,27,33.84615384615385,50-70㎡,0-5分
大阪市阿倍野区,相生通,聖天坂,7,,95,1998年,2600,1998,27,27.36842105263158,70-100㎡,6-10分
大阪市阿倍野区,相生通,聖天坂,6,,75,1998年,2900,1998,27,38.666666666666664,70-100㎡,6-10分
大阪市阿倍野区,相生通,東天下茶屋,9,３ＬＤＫ,70,1997年,3000,1997,28,42.857142857142854,70-100㎡,6-10分
大阪市阿倍野区,相生通,東天下茶屋,9,３ＬＤＫ,75,1997年,3300,1997,28,44.0,70-100㎡,6-10分
大阪市阿倍野区,旭町,阿倍野,7,２ＬＤＫ,70,1993年,2100,1993,32,30.0,70-100㎡,6-10分
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,60,2002年,3700,2002,23,61.666666666666664,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,4,３ＬＤＫ,75,1999年,3800,1999,26,50.666666666666664,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,65,2013年,5200,2013,12,80.0,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,7,３ＬＤＫ,80,1993年,4000,1993,32,50.0,70-100㎡,6-10分
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,100,1993年,3000,1993,32,30.0,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,4,３ＬＤＫ,65,1999年,3000,1999,26,46.15384615384615,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,60,2013年,4500,2013,12,75.0,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,5,２ＬＤＫ＋Ｓ,65,2013年,5000,2013,12,76.92307692307692,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,5,２ＬＤＫ,70,1993年,2500,1993,32,35.714285714285715,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,5,１ＬＤＫ,70,1993年,3900,1993,32,55.714285714285715,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,3,３ＬＤＫ,65,2013年,5200,2013,12,80.0,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,60,2013年,4700,2013,12,78.33333333333333,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,7,２ＬＤＫ,60,1993年,3400,1993,32,56.666666666666664,50-70㎡,6-10分
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,55,2013年,3000,2013,12,54.54545454545455,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,7,２ＬＤＫ,75,1993年,3000,1993,32,40.0,70-100㎡,6-10分
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,65,2013年,4900,2013,12,75.38461538461539,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,65,2013年,4800,2013,12,73.84615384615384,50-70㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,4,３ＬＤＫ,70,1999年,3100,1999,26,44.285714285714285,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,4,２ＬＤＫ,75,1999年,3000,1999,26,40.0,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,90,2002年,4300,2002,23,47.77777777777778,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,75,2013年,5400,2013,12,72.0,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,4,３ＬＤＫ,70,1999年,3000,1999,26,42.857142857142854,70-100㎡,0-5分
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ＋Ｓ,65,2013年,4200,2013,12,64.61538461538461,50-70㎡,0-5分
大阪市阿倍野区,旭町,大阪阿部野橋,9,２ＬＤＫ,70,1993年,2700,1993,32,38.57142857142857,70-100㎡,6-10分
大阪市阿倍野区,旭町,天王寺,4,４ＬＤＫ,85,1995年,5200,1995,30,61.1764705882353,70-100㎡,0-5分
大阪市阿倍野区,旭町,天王寺,4,４ＬＤＫ,85,1995年,3500,1995,30,41.1764705882353,70-100㎡,0-5分
大阪市阿倍野区,旭町,天王寺,5,３ＬＤＫ,65,2013年,3600,2013,12,55.38461538461539,50-70㎡,0-5分
大阪市阿倍野区,旭町,天王寺,4,３ＬＤＫ,80,1995年,4400,1995,30,55.0,70-100㎡,0-5分
大阪市阿倍野区,旭町,天王寺,4,３ＬＤＫ,80,1995年,3300,1995,30,41.25,70-100㎡,0-5分
大阪市阿倍野区,旭町,天王寺,4,３ＬＤＫ,80,1995年,3400,1995,30,42.5,70-100㎡,0-5分
大阪市阿倍野区,旭町,天王寺駅前,4,,65,1995年,2600,1995,30,40.0,50-70㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,5,３ＬＤＫ,80,2004年,4500,2004,21,56.25,70-100㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,5,３ＬＤＫ,70,2001年,3200,2001,24,45.714285714285715,70-100㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,1,２ＬＤＫ,55,2013年,5600,2013,12,101.81818181818181,50-70㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,2,３ＬＤＫ,60,1999年,3900,1999,26,65.0,50-70㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,3,１ＤＫ,30,1992年,2000,1992,33,66.66666666666667,30-50㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,1,３ＬＤＫ,70,2013年,6500,2013,12,92.85714285714286,70-100㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,2,３ＬＤＫ,70,1999年,5000,1999,26,71.42857142857143,70-100㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,4,３ＬＤＫ,85,1993年,3500,1993,32,41.1764705882353,70-100㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,2,２ＬＤＫ,80,1996年,3800,1996,29,47.5,70-100㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,5,２ＬＤＫ,50,2005年,3000,2005,20,60.0,50-70㎡,0-5分
大阪市阿倍野区,阿倍野筋,阿倍野,3,,70,1999年,3500,1999,26,50.0,70-100㎡,0-5分
