市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,建築年,取引価格（総額）,西暦建築年,築年数
大阪市阿倍野区,相生通,岸里玉出,8,３ＬＤＫ,80,1985年,3000,1985,40
大阪市阿倍野区,相生通,北畠,4,３ＬＤＫ,65,1998年,2700,1998,27
大阪市阿倍野区,相生通,北畠,4,４ＬＤＫ,90,1998年,3900,1998,27
大阪市阿倍野区,相生通,北畠,5,,65,1998年,2200,1998,27
大阪市阿倍野区,相生通,北畠,4,３ＬＤＫ,140,1990年,5100,1990,35
大阪市阿倍野区,相生通,北畠,4,３ＬＤＫ,145,1990年,4700,1990,35
大阪市阿倍野区,相生通,聖天坂,7,,95,1998年,2600,1998,27
大阪市阿倍野区,相生通,聖天坂,6,,75,1998年,2900,1998,27
大阪市阿倍野区,相生通,天神ノ森,5,３ＬＤＫ,65,1985年,2500,1985,40
大阪市阿倍野区,相生通,東天下茶屋,9,３ＬＤＫ,70,1997年,3000,1997,28
大阪市阿倍野区,相生通,東天下茶屋,9,３ＬＤＫ,75,1997年,3300,1997,28
大阪市阿倍野区,旭町,阿倍野,7,２ＬＤＫ,70,1993年,2100,1993,32
大阪市阿倍野区,旭町,阿倍野,6,３ＬＤＫ,75,1989年,3200,1989,36
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,60,2002年,3700,2002,23
大阪市阿倍野区,旭町,阿倍野,4,３ＬＤＫ,75,1999年,3800,1999,26
大阪市阿倍野区,旭町,阿倍野,8,３ＬＤＫ,60,1984年,2200,1984,41
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,65,2013年,5200,2013,12
大阪市阿倍野区,旭町,阿倍野,6,４ＬＤＫ,90,1989年,3900,1989,36
大阪市阿倍野区,旭町,阿倍野,7,３ＬＤＫ,80,1993年,4000,1993,32
大阪市阿倍野区,旭町,阿倍野,6,オープンフロア,45,1988年,1300,1988,37
大阪市阿倍野区,旭町,阿倍野,5,３ＬＤＫ,100,1993年,3000,1993,32
大阪市阿倍野区,旭町,阿倍野,4,３ＬＤＫ,65,1999年,3000,1999,26
大阪市阿倍野区,旭町,阿倍野,6,４ＬＤＫ,80,1989年,3000,1989,36
大阪市阿倍野区,旭町,阿倍野,3,２ＬＤＫ,60,2013年,4500,2013,12
大阪市阿倍野区,旭町,阿倍野,8,２ＬＤＫ,50,1984年,1700,1984,41
大阪市阿倍野区,旭町,阿倍野,6,オープンフロア,65,1989年,1100,1989,36
大阪市阿倍野区,旭町,阿倍野,6,,20,1989年,380,1989,36
大阪市阿倍野区,旭町,阿倍野,6,,70,1989年,2400,1989,36
大阪市阿倍野区,旭町,阿倍野,8,３ＬＤＫ,65,1984年,1800,1984,41
大阪市阿倍野区,旭町,阿倍野,8,２ＤＫ,45,1984年,2200,1984,41
大阪市阿倍野区,旭町,阿倍野,5,２ＬＤＫ＋Ｓ,65,2013年,5000,2013,12
大阪市阿倍野区,旭町,阿倍野,5,２ＬＤＫ,70,1993年,2500,1993,32
大阪市阿倍野区,旭町,阿倍野,5,１ＬＤＫ,70,1993年,3900,1993,32
