市区町村名,平均平米単価,中央値平米単価,物件数,平均築年数,平均徒歩分
大阪市北区,79.38,76.24,926,16.65,5.17
大阪市中央区,77.73,74.29,1218,15.77,3.87
大阪市西区,73.18,70.0,728,15.89,4.58
大阪市浪速区,72.5,71.43,219,14.87,4.39
大阪市福島区,71.54,69.28,358,17.74,5.53
大阪市天王寺区,67.22,67.14,383,19.25,5.11
大阪市阿倍野区,60.28,58.33,311,20.56,4.81
大阪市都島区,54.62,55.28,292,21.33,6.42
大阪市港区,53.02,51.25,157,19.73,6.37
大阪市城東区,51.89,50.53,401,20.89,5.84
大阪市東成区,51.16,50.0,177,20.82,3.98
大阪市淀川区,51.02,50.0,416,20.5,5.58
大阪市鶴見区,48.15,47.5,165,20.93,5.79
大阪市旭区,47.79,46.9,98,20.53,5.86
大阪市住吉区,47.71,45.39,204,19.6,5.7
大阪市大正区,46.29,45.71,43,22.77,6.14
大阪市東淀川区,46.13,43.67,140,18.49,7.26
大阪市東住吉区,43.32,41.67,158,21.9,6.25
大阪市此花区,41.67,40.0,158,18.3,4.63
大阪市西淀川区,40.81,40.0,196,21.95,6.42
大阪市生野区,40.13,40.0,25,24.68,5.84
大阪市住之江区,38.47,37.5,167,21.34,4.83
大阪市西成区,35.69,33.1,50,25.56,5.18
大阪市平野区,35.64,35.38,148,23.04,6.34
